Job Title,Company,Experience,Salary,Location,Description,Skills
Testing Engineer- Maintain,Foxconn Hon Hai Technology India Mega Development,7-12 Yrs,5.5-7.5 Lacs PA,"Bangalore/ Bengaluru, Karnataka",Preferred candidate profile . Only from EMS Industry . Experience- 7-15 Years. Location...,"Test Engineering, test issue analysis, TE KPI, Issue, Maintenance, Analysis, KPI, Test engineering"
Testing Engineer,Foxconn Hon Hai Technology India Mega Development,6-11 Yrs,5-8 Lacs PA,"Bangalore/ Bengaluru, Karnataka",Preferred candidate profile . Only from EMS Industry . Experience- 7-15 Years. Location...,"Test Engineering, test issue analysis, smart phone manufacture test process, Analysis, Test engineering, Manufacturing, Engineering, Issue"
Repair Engineer,Foxconn Hon Hai Technology India Mega Development,6-11 Yrs,5-7 Lacs PA,"Bangalore/ Bengaluru, Karnataka",Preferred candidate profile . Only from EMS Industry . Experience- 4-15 Years. Location...,"repair equipment, DOE, repair process, FAMA, fixtures, Fix, Process, Customer calling"
Production Management,Foxconn Hon Hai Technology India Mega Development,7-12 Yrs,5.5-7.5 Lacs PA,"Bangalore/ Bengaluru, Karnataka","Role & responsibilities . ""Internal CFT management. Good Communication & Presentation i...","maintaining Attrition, Presentation in Review Meeting, Manpower handling, Preparation for LBU, Defect Analyze, Analysis, Review, Consumables"
Production Management,Foxconn Hon Hai Technology India Mega Development,10-16 Yrs,7-13 Lacs PA,"Bangalore/ Bengaluru, Karnataka","Team and Internal CFT management. . Good Communication, Presentation and Meeting Follow...","Analytical thinking, F1 CFT handling, Critical problem Solving, Preparation of LBU, Production management, Production, Analytical, Analytics"
Asset Management head,Foxconn Hon Hai Technology India Mega Development,7-12 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka",Preferred candidate profile . Only from EMS Industry . Experience- 7-15 Years. Location...,"Purchase management, Asset management, Asset, Purchase, Management"
Onsite- Industrial Engineer,Foxconn Hon Hai Technology India Mega Development,4-9 Yrs,3-6.5 Lacs PA,"Bangalore/ Bengaluru, Karnataka",Preferred candidate profile . Only from EMS Industry . SMT Background. Experience- 4-12...,"efficiency improvement, process optimization, line balance analysis, IE, Line balancing, Industrial engineering, Mod, Process"
Industrial Engineer- Factory Planning Engineer,Foxconn Hon Hai Technology India Mega Development,4-9 Yrs,3-7.5 Lacs PA,"Bangalore/ Bengaluru, Karnataka",Preferred candidate profile . Only from EMS Industry . SMT Background. Experience- 4-12...,"IE, CAD drawing skills, System, Draw, CAD, Equipment, Factory, CAD drawing"
Planning- Industrial Engineer,Foxconn Hon Hai Technology India Mega Development,4-9 Yrs,3-8 Lacs PA,"Bangalore Rural, Karnataka",Preferred candidate profile . Only from EMS Industry . SMT Background. Experience- 4-12...,"IE onsite improvement & factory planning, MES, Mod, Electronics, Automation, System, IE, Cost reduction"
Equipment Engineer,Foxconn Hon Hai Technology India Mega Development,3-8 Yrs,3-8 Lacs PA,Bangalore/Bengaluru,Only from EMS Industry . SMT(Surface Mount Technology) Background . Location : Bangalor...,"HANS and HG Laser, Printing, III, Laser, Fuji, HAN, Hg, Equipment"
Manufacturing Engineer,Foxconn Hon Hai Technology India Mega Development,3-8 Yrs,3-8 Lacs PA,Bangalore/Bengaluru,. Only from EMS Industry. SMT (Surface Mount Technology) Background. Location: Bangalor...,"SMT, IPC, Process, Data validation, Dispensing, Stencil, Handling, New product development"
Graduate Engineer Trainee,JMD Railtech,0-1 Yrs,Not disclosed,"Noida, Uttar Pradesh, Mumbai, Maharashtra, Hyderabad/ Secunderabad, Telangana, Bangalore/ Bengaluru, Karnataka","Bachelor s degree in engineering, preferably in electrical / electronic engineeringGood...","MS Office, Electrical Engineering, Documentation Skills, Microsoft, Training, Office, Tools, MS Office tools"
Principal Mechanical Engineer,McDermott,14-20 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Co-ordinate with Architectural, Instrumentation, Electrical and Telecommunication draft...","Instruments, HVAC Design, Architecture, HVAC system, 3D Model, Instrumentation, Electricals, 3D"
Engineer - Projects,Emerson,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Exposure in designing DCS cabinet and hardware design minimum up to 1500 IO s. .,"Time Managements, Field, HMI, Project engineering, Engineering, Detail engineering, Profibus, Execution"
LIDAR Engineer - Geographic Information Systems,Serving Skill,5-10 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru","Minimum 5 years experience in Lidar projects . - Should have experience in Qgis, ArcGIS...","LIDAR Engineering, Arcgis, Lidar, Engineering, System, Information Systems, 3D CAD, CAD Software"
Compressor Service Engineer,Nakoda Machinery,0-1 Yrs,Not disclosed,"Kolkata, Pune, Maharashtra, Bangalore/Bengaluru","FFRole & responsibilities Within the Rotating engineering group, provides technical lea...","Compressors, Motors, Box, ITI, Rotating, Pumps, Centrifugal, Centrifugal Compressors"
Dipl. in Mechanical Engineering - Fresher (Apprenticeship + Training),Technico Industries,0-0 Yrs,Not disclosed,"Becharaji, Gujarat, Bawal, Pune, Maharashtra, Bangalore/ Bengaluru, Karnataka","DET - Mechanical/Electrical Engineering required for Bawal, (Haryana) location.","Training, Engineering, Punctual, Mechanical engineering, Mechanical, Positive attitude"
Technology Operations Manager,Mouser Electronics,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,"Works with minimum supervision and makes independent judgmentsDemonstrates knowledge, e...","Recovery, Technology operations, Planning, Computer, Networking, Computer hardware, Disaster Recover, Improvement"
Cost Engineer,NNE Pharmaplan,4-5 Yrs,Not disclosed,Bangalore/Bengaluru,Have Chemical / Mechanical engineering bachelor s degree with hands on experience in la...,"Mechanical engineering, Management, Risk management, Advanced Excel, Industrial, Estimation, Industrial Project, Engineering"
Piping Design Lead Engineer: Plant Piping Layout,Excellence And Eminence,15-20 Yrs,15-25 Lacs PA,"Bangalore/ Bengaluru, Karnataka",We are looking for a Piping Design Lead Engineer: Plant Piping Layout with 15+ Years of...,"Aveva Pdms, Autocad Plant 3D, E3d, Piping, Navisworks, Piping engineering, SP3D, Design"
Opening For Reliability Testing,Foxconn Hon Hai Technology India Mega Development,6-11 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka",Preferred candidate profile . .,"environmental test, Reliability, Mechanical, Environment, Software testing, FA, Reliability testing, Environmental Testing"
Service Engineer -X-Ray,Allengers Medical Systems,2-7 Yrs,1-4.25 Lacs PA,"Varanasi/ Benaras, Uttar Pradesh, Vijayawada, Andhra Pradesh, Indore, Madhya Pradesh, Hyderabad/Secunderabad, Ahmedabad, Chennai, Rajkot, Gujarat, Bangalore/Bengaluru, Delhi / NCR",Role & responsibilities Preferred candidate profile Perks and benefits,"installation, Breakdown, Field Service, Repair, Service Engineer, Service engineering, Field, X-Ray"
Service Engineer -X-Ray,Allengers Medical Systems,2-7 Yrs,1-4.25 Lacs PA,"Varanasi/ Benaras, Uttar Pradesh, Vijayawada, Andhra Pradesh, Indore, Madhya Pradesh, Hyderabad/Secunderabad, Ahmedabad, Chennai, Rajkot, Gujarat, Bangalore/Bengaluru, Delhi / NCR","Role & responsibilities Diploma Electronics with 1-3 years of experience in servicing, ...","installation, Breakdown, Field Service, Repair, Service Engineer, Field, X-Ray, Service engineering"
Junior Engineer / Technician-Product Repair,Hikvision India,2-7 Yrs,2.5-3 Lacs PA,"Kochi/ Cochin, Kerala, Ludhiana, Punjab, Vasai, Maharashtra, Chandigarh, Chandigarh, Hyderabad/ Secunderabad, Telangana, Ahmedabad, Gujarat, Rajkot, Gujarat, Surat, Gujarat, Bangalore/ Bengaluru, Karnataka",. Job Profile : . Should have experience in fault finding in product and soldering repa...,"Repair, Soldering, Chip level repairing, PCB"
Hiring Steel Fitters To Work in Lithuania - Europe,Capital Recruitment Services,2-7 Yrs,5-15 Lacs PA,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",2 years of relevant experience within shipbuilding / steel construction industry. assem...,"steel fitter, Fabrication, Design, Steel Design, Plant, Steel structures, Steel Fabrication, Europe"
Hiring Steel Fitting Foreman To Work in Lithuania Europe,Capital Recruitment Services,2-5 Yrs,5-15 Lacs PA,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas), LITHUANIA - EUROPE",min. 2 years of relevant experience within shipbuilding / steel construction industry. ...,"Hiring, Europe, Fitting, Steel, Steel Fitting Foreman, steel fitter"
Product Engineer,Tyzer Technologies,10-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Experience in the Product development activities from drawing board to successful launc...,"RFQ, Process, Tools, Manufacturing process, Sheet metal, Metal, Tool design, Manufacturing"
Unit Head- Pan India,JBM Group,20-27 Yrs,Not disclosed,"Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",1) Operation Cost % with respect to Sales. . 2) Zero Defects at Customer end / Vendor R...,"Plant Operations, Pan, Manufacturing operations, Sheet metal, Plant Operation, Metal, Production, Plant"
Sr. Production Manager,Meyer Organics,12-20 Yrs,11-15 Lacs PA,Bangalore/Bengaluru,To achieve 100% targets of production as per Export / PPIC requirementExperience : 12 -...,"Formulation, Production, Production Management, Manpower Handling, communication skills, Manpower, Handling, SR"
Openings For HVAC Technician,Meyer Organics,1-4 Yrs,Not disclosed,Bangalore/Bengaluru,Experience - 1 to 3 Years. Category - Male. .,"Hvac Maintenance, HVAC System, Utility Management, Ahu, Utility, Management, HVAC, System"
Openings For Tablet Packing Department,Meyer Organics,1-3 Yrs,2-3.25 Lacs PA,Bangalore/Bengaluru(Jalahalli),Responsible for the batch packing activity. . Responsibility of completing the BPR and ...,"Tablet packing, bsc, packaging, msc, male, Tablets"
Application Engineer -Fire & Security Post-sales,Johnson Controls,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,"Expertise in NFPA / BS 5839 / EN/ FM Security Guidelines . Proficient in AutoCAD, MS Of...","Post sales, Delivery, Visio, Project delivery, Scheduling, Application engineering, Quality management, Technical"
Application Engineer - Fire Pre-sales,Johnson Controls,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,". Must be a quick learner, team player should have a keen eye for problem solvingFollow...","Assurance, Instrumentation, Cost, Quality, Estimation, Materials, Backend, Application engineering"
Sr/Jr. Electrical Design Engineer,Omega Industries,1-5 Yrs,2.25-6 Lacs PA,Bangalore/Bengaluru,Role & responsibilities SR/Jr. Control Panel Design Engineer: No of Openings: 02Experie...,"Autocad Electrical, Electrical Drawing, Panel Designing, Control Panel, Eplan, Draw, PLC panel, HMI"
Sr. Application Engineer I,Johnson Controls,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,"Must be a quick learner & should have a keen eye for problem solvingFollow processes, m...","SR, Sensors, Management, Cost estimation, Quality assurance, Cost, Instrumentation, Automation"
Sr. Application Engineer I,Johnson Controls,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,Experience in the field of Industrial Automation (PLC programming / DCS/ SCADA) will be...,"SR, Sensors, Management, Quality assurance, Instrumentation, Water system, MEP, Instruments"
Tower Manufacturing Engineer,Siemens Gamesa Renewable Energy,3-8 Yrs,Not disclosed,"Mamandur, Bangalore/Bengaluru","These include, but are not limited to technical project managers, tower designers, qual...","Fabrication, Fire prevention, Contract review, Manager Quality Assurance, Renewable energy, Supply chain development, Metrology, Siemens"
Service engineer,Johnson Controls,6-8 Yrs,Not disclosed,Bangalore/Bengaluru,"Must have excellent written, oral and presentation skills","Microsoft, Analytical, Visio, Conflict, Engineering, Analytics, System, Instrumentation"
Application Engineer - Graphics,Johnson Controls,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,Experience in the field of Industrial Automation (SCADA / HMI screens development) will...,"Instruments, System, Sensor, Instrumentation, MEP, Application development, Quality, Quality assurance"
Senior Design Engineer,Weir,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,Communicating effectively with all internal and external stakeholders . Job Knowledge /...,"Materials, International Clients, Material handling, International, Administration, Process, Design, PLM"
Engineer,Weir,8-10 Yrs,Not disclosed,Bangalore/Bengaluru,Perform design work in accordance with the relevant national and international design s...,"Engineering, Development, Project management, Machine, Process, Mechanical engineering, Design, Project"
"Engineer, Design Automation",SKF Technologies,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,"The Product engineering Team, PV WE and Drive Controls plays a key role in establishing...","Macros, Process, Design engineering, Monitoring, Design, Condition monitoring, Automation, Visual"
"Engineer, CWE",SKF Technologies,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,"The Product engineering Team, PV Automotive, plays a key role in establishing the SKF P...","Product life cycle management, Automotive, Monitoring, Product management, Process capability, Metrology, Manufacturing, Life cycle"
Executive - Store Incharge (Facade),Glass Wall Systems,1-5 Yrs,Not disclosed,"Hybrid - Bangalore/ Bengaluru, Karnataka",Education and Industry Exposure . BE /Civil / Mechanical / Diploma and MBA with 15 year...,"Inventory Control, GRN, Stock Taking, purchase requisition, inventory planning, Requisition, Planning, Facade"
Engineer Production - Through Hole Technology,Manpowergroup Services India,4-9 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka",Setting of MTTR and MTBF Target and achieving the same. . Good knowledge on FLOW SOLDER...,"THT, Maintenance, Machine, Moulds, Machine maintenance, Technology, Soldering, Production"
Electrical Technician Apprentice,Alphawave SEMI,0-1 Yrs,Not disclosed,Bangalore/Bengaluru,We are pleased to offer apprenticeships to BSc (Electronics / PCM/PMCs) and BCA graduat...,"Electrical, Physical, PCB Layout, Layout, Verification, Electricals, PCB, Physical verification"
Freshers hiring 2023 l Graduate Engineer / Post Graduate Trainees,SBM Nauvata,0-0 Yrs,Not disclosed,Bangalore/Bengaluru,Academics: B Tech / BE/ MTech / ME -Any SpecializationBatch: 2023 / 22,"Entry level, Hiring, Training, Post, Fresher"
Electrical Quality Control Engineer,Impress Apparel Machines,0-3 Yrs,2-4 Lacs PA,Bangalore/Bengaluru,Freshers can also apply A successful quality engineer should have excellent troubleshoo...,"quality control, Electrical Testing, Preventive Action, corrective action, Inspection, Preventive, Electrical engineering, Documentation"
UNIX - Assistant Vice President,State Street,7-10 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru","Experience in Storage Network platform . Resiliency, Stability, and Continuous Service ...","Linux, Application support, Configuration management, Configuration, Remediation, Unix, Aix, Solaris"
Planning Engineer - Contract Infosys,Sobha Corporate Office,3-5 Yrs,Not disclosed,"Hyderabad/ Secunderabad, Telangana, Bangalore/Bengaluru, Trivandrum/ Thiruvananthapuram, Kerala","Attending and scheduling meetings as requiredShould have good experience on Planning, C...","planning, Planning Engineering, Civil, Estimation, Cost estimation, Contracts, Cost, Costing"
